SubPartidas Arancelarias,Descripción del producto
040620,"queso de cualquier tipo, rallado o en polvo."
040630,"queso fundido, excepto el rallado en polvo."
040640,queso de pasta azul.
040690,los demas quesos.
040700,"huevos de ave con cascara, frescos, conservados o cocidos."
040811,"yemas de huevo, secas."
040819,"las demas yemas de huevo, frescas, cocidas, moldeadas, congeladas o co"
040891,"huevos de ave sin cascara, secos."
040899,"los demas huevos de ave sin cascara, frescos, cocidos, moldeados, cong"
040900,miel natural de abejas
041000,productos comestibles de origen animal no expresados ni comprendidos e
050100,"cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello"
050210,cerdas de jabali o de cerdo y sus desperdicios.
050290,"los demas pelos de cepilleria, desperdicios de cerdas"
050300,"crin y sus desperdicios, incluso en capas con soporte o sin el."
050400,"tripas, vejigas y estomagos de animales, excepto los de pescado, enter"
050510,plumas de las utilizadas para relleno; plumon.
050590,"las demas pieles y otros partes de aves, en bruto limpiadas, desinfect"
050610,oseina y huesos acidulados.
050690,"los demas huesos y nucleos corneos, en bruto, desgrasados, preparados;"
050710,marfil; polvo y desperdicios de marfil.
050790,"los demas marfiles, conchas , cuernos, astas, cascos, pezuñas, uñas, g"
050800,"coral y materias similares, en bruto o simplemente preparados, pero si"
050900,esponjas naturales de origen animal.
051000,"ambar gris, castoreo, algalia y almizcle; cantaridas; bilis, incluso d"
051110,semen de bovino.
051191,"los demas productos de pescados o de crustaceos, moluscos u otros inve"
051199,los demas productos de origen animal
060110,"bulbos, cebollas,tuberculos, raices tuberosas, garras y rizomas, en re"
060120,"bulbos, cebollas, etc. en vegetacion o en flor; plantas y raices achic"
060210,esquejes y estaquillas sin enraizar e injertos
060220,"arboles, arbustos, plantas jovenes y matas, de frutos comestibles, inc"
060230,"rododendros y azaleas, incluso injertados."
060240,"rosales, incluso injertados"
060290,"las demas plantas vivas (incluidas sus raices), esquejes e injertos;"
060310,"flores y capullos ,cortados para ramos o adornos, frescos"
060311,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, im"
060312,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, im"
060313,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, im"
060314,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, im"
060319,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, im"
060390,"flores y capullos, para ramos o adornos, secos, blanqueados, teñidos,"
060410,musgos y liquenes
060491,"partes de planta, sin flores ni capullos para ramos o adornos, frescos"
060499,"los demas follajes, hojas, ramas y demas partes de plantas sin florece"
070110,"patatas (papas) frescas o refrigeradas, para siembra"
070190,las demas papas frescas o refrigeradas
070200,tomates frecos o refrigerados
070310,"cebollas y chalotes, frescos o refrigerados"
070320,ajos frescos o refrigerados
070390,"puerros y demas hortalizas aliaceas, frescos o refrigerados."
070410,"coliflores y brecoles, frescos o refrigerados."
070420,"coles de bruselas, frescos o refrigerados."
070490,"los demas coles y productos similares, frescos o refrigerados."
070511,"lechugas repolladas, frescas o refrigeradas."
070519,"lechugas, excepto repolladas, frescas o refrigeradas."
070521,endibias frescas
070529,las demas achicorias frescas
070610,zanahorias y nabos frescos o refrigerados
070690,"remolachas para ensalada, salsifies, apionabos, rabanos, frescos o ref"
070700,"pepinos y pepinillos, frescos o refrigerados."
070810,guisantes o arvejas frescas o refrigeradas
070820,"alubias, incluso desvainadas, frescas o refrigeradas."
070890,"las demas legumbres, incluso desvainadas, frescas o refrigeradas."
070910,alcachofas frescas o refrigeradas
070920,esparragos frescos o refrigerados
070930,"berenjenas, frescas o refrigeradas."
070940,"apio, excepto el apinabo, frescos o refrigerados."
070951,callampas frescas o refrigeradas
070952,"trufas, frescas o refrigeradas."
070959,"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género Agaricus"
070960,pimientos del genero capsicum o del genero pimenta
070970,"espinacas y armuelles, frescas o refrigeradas."
070990,las demas hortalizas frescas o refrigerdas
071010,"patatas (papas), incluso cocidas con agua o vapor, congeladas"
071021,"arvejas, incluso desvainadas, cocidas, congeladas"
071022,"alubias, incluso desvainadas, cocidas, congeladas."
071029,"otras legumbres desvainadas, cocidas, congeladas."
071030,"espinacas y armuelles, incluso cocidas, congeladas."
071040,maiz dulce
071080,las demas legumbres y hortalizas
071090,mezclas de hortalizas y/o legumbres
071110,"cebollas conservadas provisionalmente, pero todavia impropias para ali"
071120,"aceitunas conservadas provisionalmente, pero todavia impropias para la"
071130,"alcaparras conservadas provisionalmente, pero todavia impropias para a"
071140,"pepinos y pepinillos conservados provisionalmente, aun impropios alime"
071151,"Setas y demás hongos del género Agaricus, conservadas provisionalmente, p.ej., con gas sul"
071159,"Setas y demás hongos, conservadas provisionalmente, p.ej., con gas sulfuroso o con agua sa"
071190,las demas legumbres y hortalizas; mezclas de hortalizas y/o legumbres
071220,"cebollas, incluso en trozos o rodajas, sin otra preparacion, secas."
071230,"setas y trufas, incluso en trozos o rodajas, sin otra preparacion , se"
071231,"Hongos del género Agaricus, secos, incl. los cortados en trozos o en rodajas o los tritura"
071232,"Orejas de Judas Auricularia spp., secas, incl. las cortadas en trozos o en rodajas o las t"
071233,"Hongos gelatinosos Tremella spp., secos, incl. los cortados en trozos o en rodajas o los t"
071239,"Setas y demás hongos y trufas, secas, incl. las cortadas en trozos o en rodajas o las trit"
071290,las demas legumbres y hortalizas;mezclas de hortalizas y/o legumbres
071310,arvejas secas
071320,garbanzos secos
071331,alubias especies vigna mungo hepper
071332,"alubias adzuki, secas desvainadas,"
071333,"alubia comun, seca desvainada"
071339,"las demas alubias, secas desvainadas"
071340,lentejas secas
071350,"habas, haba caballar y menor, secas desvainadas, incluso mondadas o pa"
071390,las demas legumbres secas
071410,"raices de mandioca, frescas o secas, incluso troceadas o en pellets."
071420,"batatas, frescas o secas, incluso troceadas o en pellets."
071490,"las demas raices y tuberculos similares ricos en feculas o en inulina,"
080111,cocos secos
080119,"los demas cocos, nueces del brasil y nueces de marañon frescos , secos"
080121,"nueces de brasil, frecas o secas con cascaras."
080122,"nueces de brasil, frescas o secas sin cascaras."
080131,nueces de marañon con cascaras frescas o secas.
080132,nueces de marañon sin cascaras frescas o secas.
080211,almendras con cascara frescas o secas
080212,almendras sin cascara frescas o secas
080221,avellanas con cascara frescas o secas
080222,"avellanas sin cascara, frescas o secas, incluso mondadas."
080231,nueces de nogal con cascara frescas o secas
080232,"nueces de nogal sin cascara, frescas o secas"
080240,"castañas,frescas o secas"
080250,"pistachos, frescos o secos, incluso sin cascara o mondados."
080260,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados : Nueces de ma"
080290,"los demas frutos de cascara, frescos o secos, incluso sin cascara o mo"
080300,"bananas o platanos, frescos o secos."
080410,"datiles, frescos o secos."
080420,higos frescos o secos
080430,"pinas, frescas o secas."
080440,paltas (aguacates)
080450,"guayabas, mangos y mangostanes, frescos o secos."
080510,naranjas frescas
080520,"mandarinas, clementinas, wilkings e hibridos similares, frescos o seco"
080530,"limones y lima agria, frescos o secos"
080540,"toronjas o pomelos, frescos o secos."
080550,"Limones Citrus limon, Citrus limonum y limas Citrus aurantifolia, Citrus latifolia, fresco"
080590,"los demas agrios, frescos o secos."
080610,uvas frescas
080620,pasas
080711,sandias frescas
080719,"los demas melones, sandias, papayas, frescos"
080720,papayas frescas.
080810,manzanas frescas
080820,peras y membrillos frescos.
080910,damascos frescos
080920,cerezas frescas
080930,"melocotones o duraznos, incluido los griñones y nectarines"
080940,"ciruelas y endrinos, frescos."
081010,frutillas frescas
081020,"frambuesas, zarzamoras, moras y moras-frambuesas, frescas"
081030,"grosellas , incluido el casis frescos."
081040,arandanos o murtones y demas frutos del genero vaccinium frescos
081050,kiwis frescos.
081060,"Duriones, frescos"
081090,otros frutos frescos.
081110,fresas (frutillas) congeladas
081120,"frambuesas, zarzamoras, moras y moras-frambuesas y grosellas, congelad"
081190,otras frutas congeladas
081210,cerezas provisionalmente conservadas
081220,"fresas (frutillas) conservadas provisionalmente, pero impropias para a"
081290,los demas frutos conservados provisionalmente
081310,damascos desecados o deshidratados (incluye: damascos descarozados)
081320,ciruelas desecadas o deshidratadas
081330,manzanas desecadas o deshidratadas
081340,los demas frutos secos
081350,mezclas de frutas secas o de frutos de cascara de este capitulo.
081400,"cortezas de agrios, de melones y de sandias, frescas, congeladas, pres"
090111,"cafe sin tostar, sin descafeinar."
090112,"cafe sin tostar, descafeinado."
090121,cafe tostado sin descafeinar
090122,cafe tostado descafeinado
090190,los demas cafes y sucedaneos
090210,te verde en envases contenido inferior o igual a 3 kg.
090220,te verde sin fermentar presentado de otra forma.
090230,"te negro (fermentado) y té parcialmente fermentado, en envases con un"
090240,"te negro fermentado y te parcialmente fermentado, presentados de otra"
090300,yerba mate
