SubPartidas Arancelarias,Descripción del producto
851020,"maquinas de cortar el pelo y de esquilar, con motor electrico incorpor"
851030,aparatos de depilar
851090,"partes de maquinas de afeitar, de cortar el pelo y esquilar, con motor"
851110,bujias de encendido para motores encendido por chispa o por compresion
851120,"magnetos, dinamo-magnetos; volantes magneticos"
851130,distribuidores; bobinas encendido
851140,"motores de arranque, aunque funcionen como generadores."
851150,los demas generadores utilizados con motores de chispa o compresion.
851180,los demas aparatos y dispositivos electrico de encendido o de arranque
851190,partes de aparatos y dispositivos electricos de encendido o de arranqu
851210,aparatos de alumbrado o de senalizacion tipo utilizado en bicicletas.
851220,los demas aparatos de alumbrado o de señalizacion visual
851230,aparatos de senalizacion acustica
851240,limpiaparabrisas y eliminadores de escarcha y de vaho.
851290,partes de aparatos electricos de alumbrado o senalizacion
851310,lamparas electricas portatiles que funcionen con su propia fuente de e
851390,partes de lamparas electricas portatiles que funcionen con fuente prop
851410,"hornos de resistencia (de caldeo indirecto), eléctrico, industrial o d"
851420,"hornos que trabajen por induccion o por pérdidas dieléctricas, industr"
851430,los demas hornos electricos industriales o de laboratorio.
851440,los demas aparatos para el tratamiento termico de materias por inducci
851490,partes de hornos electricos industriales o de laboratorio y demas apar
851511,"soldadores y pistolas para soldar, por soldadura fuerte o soldadura bl"
851519,"las demas maquinas y aparatos para la soldadura fuerte o blanda, elect"
851521,"maquinas y aparatos para soldar metales por resistencia, total o parci"
851529,las demas maquinas y aparatos para soldar metal por resistencia
851531,"maquinas y aparatos de arco o de chorro de plasma, para soldar metales"
851539,las demas maquinas y aparatos de arco o de chorro de plasma para solda
851580,"las demas maquinas y aparatos para soldar, electricas, de haces electr"
851590,"partes de maquinas y aparatos para soldar, electricos, de laser y dema"
851610,calentadores electricos de agua y calentadores electricos de inmersion
851621,"radiadores de acumulacion, electricos para calefaccion locales, suelo"
851629,"los demas aparatos eléctricos para calefaccion de locales, del suelo o"
851631,"secadores para el cabello, electricos"
851632,los demas aparatos electrotermicos para el cuidado del cabello.
851633,"aparatos para secar las manos, electricos."
851640,"planchas electricas, de uso domestico."
851650,hornos de microondas
851660,"los demas hornos; cocinas, calentadores, parrillas y asadores, electri"
851671,"aparatos para la preparacion de cafe o te, electricos, uso domestico."
851672,"tostadores de pan, electricos, de uso domestico."
851679,"los demas aparatos electrotermicos, de uso domestico."
851680,"resistencias calentadores, electricas."
851690,partes de aparatos electrotermicos de uso domestico.
851711,telefonos de abonado de auricular inalambrico combinado con microfono
851712,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851718,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851719,"los demas telefonos de abonado, videofonos"
851721,telefax
851722,teletipos
851730,aparatos de conmutacion para telefonia o telegrafia
851750,los demas aparatos de telecomunicacion por corriente portadora o digit
851761,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851762,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851769,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851770,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas;"
851780,los demas aparatos electricos de telefonia o telegrafia
851790,partes y piezas para aparatos electricos de telefonia o telegrafia con
851810,microfonos y sus soportes.
851821,cajas acusticas con un solo altavoz.
851822,cajas acusticas con varios altavoces.
851829,"los demas altavoces, incluso montados en sus cajas."
851830,"auriculares, incluso combinados con un microfono."
851840,amplificadores electricos de audiofrecuencia.
851850,aparatos electricos de amplificacion del sonido.
851890,"partes de microfonos, altavoces, auriculares, amplificadores y similar"
851910,tocadiscos que funcionen por ficha o moneda.
851920,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación
851921,"los demas tocadiscos, sin altavoces."
851929,"los demas tocadiscos, excepto sin altavoces."
851930,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación
851931,"giradiscos, con cambiador automatico de discos."
851939,los demas giradiscos.
851940,aparatos para reproducir dictados.
851950,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación
851981,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación
851989,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación
851992,tocacasetes de bolsillo
851993,los demas tocacasetes
851999,"los demas aparatos para la reproduccion del sonido, excepto de casete."
852010,aparatos para dictar que funcionen con fuente de energia exterior.
852020,contestadores telefonicos.
852032,los demas aparatos de grabacion y reproduccion de sonido digitales
852033,los demas aparatos de grabacion y reproduccion de sonido de casete
852039,los demas aparatos de grabacion y reproduc. de sonido en cintas magnet
852090,"los demas aparatos para grabacion de sonido, incluso con dispositivo r"
852110,"aparatos de grabacion y/o reproducion de imagen y sonido, de cinta mag"
852190,los demas aparatos de grabacion y/o de reproduccion de imagen y sonido
852210,capsulas fonocaptoras.
852290,"partes y accesorios de los aparatos de partidas 85.19 a 85.21, por eje"
852311,"cintas magneticas, ancho inferior o igual a 4 mm, sin grabar."
852312,"cintas magneticas, ancho superior a 4 mm. e inferior o igual a 6,5 mm."
852313,"cintas magneticas, de anchura superior a 6,5 mm. sin grabar"
852320,"discos magneticos, sin grabar."
852321,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852329,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852330,tarjetas con tira magnetica incorporada
852340,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852351,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852352,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852359,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852380,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductor"
852390,"los demas soportes preparados para grabar el sonido o analogas, sin gr"
852410,discos grabados para tocadiscos
852431,discos laser para reproducir fenomenos distintos del sonido o imagen
852432,discos laser para reproducir unicamente sonido
852439,los demas discos para sistemas de lectura por rayos laser.
852440,cintas magneticas para reproducir fenomenos distintos del sonido e ima
852451,las demas cintas magneticas de anchura inferior o igual a 4mm
852452,"las demas cintas magneticas de anchura superior a 4 mm pero <= a 6,5 m"
852453,"las demas cintas magneticas de anchura superior a 6,5 mm"
852460,tarjetas con tira magnetica incorporada
852491,los demas discos cintas para reproducir fenomenos distintos del sonido
852499,"los demas discos, cintas y demas soportes para grabar sonido o grabaci"
852510,emisores
852520,emisores receptores
852530,camaras de television.
852540,"videocamaras, incluidas las de imagen fija"
852550,"Aparatos emisores de radiodifusión o televisión, incluso con aparato receptor o de grabaci"
852560,"Aparatos emisores de radiodifusión o televisión, incluso con aparato receptor o de grabaci"
852580,"Aparatos emisores de radiodifusión o televisión, incluso con aparato receptor o de grabaci"
852610,aparatos de radiodeteccion y de radiosondeo (radar)
852691,aparatos de radionavegacion
852692,aparatos de radiotelemando.
852712,radiocasetes de bolsillo
852713,los demas aparatos combinados con grabador o reproductor de sonido
852719,"los demas receptores radiodifusion, sin fuente de energia exterior."
852721,receptores de radiodifusion que solo funcionen con una fuente de energ
852729,"los demas receptores radiodifusion con fuente energia exterior,"
852731,"los demas receptores radiodifusion, con grabador o reproductor sonido."
852732,"los demas receptores radiodifusion, con aparato relojeria, sin grabado"
852739,los demas receptores de radiodifusion
852790,"los demas aparatos radiotelefonia, radiotelegrafia"
852791,"Aparatos receptores de radiodifusión, incluso combinados en la misma envoltura con grabado"
852792,"Aparatos receptores de radiodifusión, incluso combinados en la misma envoltura con grabado"
852799,"Aparatos receptores de radiodifusión, incluso combinados en la misma envoltura con grabado"
852812,receptores de television en color con aparatos de radiodifusion o grav
852813,receptores de television en blanco y negro u otros monocromaticos
852821,videomonitores en colores
852822,videomonitores en blanco y negro u otros monocromos
852830,videoproyectores
852841,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852849,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852851,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852859,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852861,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852869,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852871,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852872,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852873,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos recept"
852910,"antenas y reflectores de antena, de cualquier tipo; partes identificab"
852990,"las demas partes identificables para emisores de radiotelefonia, radio"
853010,"aparatos para vias ferreas o similares, electricos de senalizacion."
853080,"los demas aparatos electricos de senalizacion, para carretera, estacio"
853090,partes de aparatos electricos de senalizacion para vias ferreas o simi
853110,avisadores electricos de proteccion contra robos o incendios o similar
853120,tableros indicadores con dispositivos de cristales liquidos (lcd) o di
853180,los demas aparatos electricos de senalizacion acustica o visual.
853190,partes de aparatos electricos de senalizacion acustica o visual.
853210,condensadores fijos para redes electricas de 50/60 hz (condensadores d
853221,"los demas condensadores fijos, de tantalo."
853222,"los demas condensadores fijos, electroliticos de aluminio."
853223,"los demas condensadores fijos, con dielectrico de ceramica de una sola"
853224,"los demas condensadores fijos, con dielectrico de ceramica, multicapas"
853225,"los demas condensadores fijos, con dielectrico de papel o de plastico."
853229,los demas condensadores fijos.
853230,condensadores variables o ajustables.
853290,"partes de condensadores electricos, fijos, variables o ajustables."
853310,"resistencias electricas fijas de carbono, aglomeradas o de capa."
853321,"las demas resistencias electricas fijas, potencia inferior o igual 20w"
853329,las demas resistencias electricas fijas.
853331,"resistencias electricas variables bobinadas, incluidos los reostatos y"
853339,las demas resistencias electricas
853340,"las demas resistencias variables, incluidos los reostatos y potenciome"
853390,partes de resistencias electricas.
853400,circuitos impresos.
853510,fusibles y cortacircuitos con fusible
853521,"disyuntores para una tension inferior a 72,5 kv."
853529,los demas disyuntores
853530,seccionadores e interruptores.
853540,"pararrayos, limitadores de tension y amortiguadores de ondas."
853590,los demas aparatos de empalme y conexion
853610,fusibles y cortacircuitos con fusibles
853620,"disyuntores, para una tension inferior o igual a 1000 voltios"
853630,los demas aparatos para la proteccion de circuitos electricos.
853641,"relevadores o reles, para una tension inferior o igual a 60 v."
853649,"los demas relevadores o reles, para una tension inferior a 1.000 volti"
853650,"los demas interruptores, seccionadores y conmutadores."
853661,"portalamparas, para una tension inferior o igual a 1000 voltios"
853669,"las demas tomas de corriente, para una tension inferior o igual a 1000"
853670,"Aparatos para corte, seccionamiento, protección, derivación, empalme o conexión de circuit"
853690,"los demas aparatos para el corte, seccionamiento, proteccion de circui"
853710,"cuadros, paneles, consolas y similares para una tension inferior a igu"
853720,"cuadros, paneles, consolas y similares para una tension superior a 100"
853810,"cuadros, paneles, consolas, pupitres, armarios y demas soportes de la"
853890,"las demas partes identificables destinadas a las pda 8535,8536,8537"
853910,faros o unidades sellados
853921,lamparas halogenas de volframio
853922,"lamparas y tubos de incandescencia, de potencia inferior o igual a 200"
853929,las demas lamparas y tubos electricos de incandescencia o de descarga
853931,lamparas fluorescentes de catodo caliente
853932,"lamparas de vapor de mercurio o sodio, lamparas de halogenuro metalico"
853939,las demas lamparas y tubos de descarga
853941,lamparas de arco
853949,los demas lamparas y tubos de rayos ultravioletas o inflarrojos
853990,partes de lamparas y tubos electricos de incandescencia o de descarga
854011,"tubos catodicos para receptores de television, incluso para monitores"
854012,"tubos catodicos para receptores de television, incluso para monitores"
854020,tubos para camaras de television; tubos convertidores o intensificador
854040,"tubos para visualizar datos graficos en colores, con pantalla fosforia"
854050,tubos para visualizar datos graficos en blanco y negro u otros monocro
854060,los demas tubos catodicos
854071,magnetrones
854072,klistrones
854079,los dema stubos para hiperfrecuencias
854081,tubos receptores o amplificadores.
854089,"las demas lamparas, tubos y valvulas electronicos."
854091,partes de tubos catodicos.
854099,"las demas partes de lamparas, tubos y valvulas electronicos."
854110,"diodos, excepto los fotodiodos y los diodos emisores de luz."
854121,"transistores, excepto fototransistores, con una capacidad de disipacio"
854129,"los demas transitores, excepto fototransistores."
854130,"tiristores, diac y triac, excepto los dispositivos fotosensibles."
854140,dispositivos semiconductores fotosensibles; incluidas las celulas foto
854150,los demas dispositivos semiconductores
854160,cristales piezoelectricos montados.
854190,partes de dispositivos semiconductores
854210,Tarjetas provistas de un circuito integrado electrónico [tarjetas inteligentes smart cards
854212,tarjetas provistas de circuitos integrados electronicos (tarjetas inte
854213,semiconductores de oxido metalico (tecnologia mos)
854214,circuitos de tecnologia bipolar.
854219,los demas circuitos integrados monoliticos.
854221,"Circuitos integrados monolíticos, digitales (exc. tarjetas provistas de un circuito integr"
854229,"Circuitos integrados monolíticos, analógicos o analógico/digitales"
854230,los demas circuitos integrados monoliticos
854231,"Circuitos integrados : Circuitos electrónicos integrados : Procesadores y controladores, i"
854232,Circuitos integrados : Circuitos electrónicos integrados : Memorias
854233,Circuitos integrados : Circuitos electrónicos integrados : Amplificadores
854239,Circuitos integrados : Circuitos electrónicos integrados : Los demás
854240,circuitos integrados hibridos.
854250,microestructuras electronicas
854260,"Circuitos integrados, híbridos"
854270,"Microestructuras electrónicas, realizadas con componentes discretos activos o activos y pa"
854290,partes de circuitos integrados y microestructuras electronicas
854310,"Máquinas y aparatos eléctricos con función propia, no expresados ni comprendidos en otra p"
854311,aparatos de implantacion ionica para dopar material semiconductor.
854319,los demas aparatos y maquinas aceleradores de particulas.
854320,generadores de senales.
854330,"maquinas y aparatos de galvanotecnia, electrolisis o electroforesis."
854340,electrificadores de cercas
854370,"Máquinas y aparatos eléctricos con función propia, no expresados ni comprendidos en otra p"
854381,tarjetas y etiquetas de activacion por proximidad
854389,"las demas maquinas y aparatos electricos con funcion propia, no expre"
854390,partes de maquinas y aparatos electricos con funcion propia no expresa
854411,alambre para bobinar de cobre
854419,"los demas alambres para bobinar, excepto de cobre, aislados para elect"
854420,"cables y demas conductores electricos, coaxiales, aislados para electr"
854430,juegos de cables para bujias de encendido y demas juegos de cables de
854441,los demas conductores electricos para una tension inferior o igual a 8
854442,"Hilos, cables, incluidos los coaxiales y demás conductores aislados para electricidad, aun"
854449,"los demas conductores electricos, para una tension inferior o igual a"
854451,los demas conductores electricos para una tension superior a 80 v pero
854459,los demas conductores electricos para una tension superio a 80 v pero
854460,los demas conductores electricos para una tension superior a 1000 v
854470,cables de fibras opticas.
854511,electrodos del tipo de los utilizados en los hornos.
854519,los demas electrodos.
854520,"escobillas de carbon, para usos electricos."
854590,"los demas articulos de grafito o de otros carbonos, para usos eléctric"
854610,"aisladores electricos, de vidrio."
854620,aisladores electrico de ceramica
854690,los demas aisladores electricos.
854710,piezas aislantes de ceramica.
854720,piezas aislantes de plastico
854790,las demas piezas aislantes.
854810,"desperdicios y desechos de pilas, baterias de pilas o acumuladores, e"
854890,"los demas desperdicios y desechos de pilas, baterias de pilas o acumu"
860110,"locomotoras y locotractores, de energia electrica exterior."
860120,"locomotoras y locotractores, de acumuladores electricos."
860210,locomotoras diesel-electricas.
860290,las demas locomotoras y locotractores; tenderes.
860310,"automotores y tranvias con motor, de energia electrica exterior."
860390,"los demas automotores y tranvias con motor, excepto de energia elect."
860400,vehiculos para el mantenimiento o servicio de las vias ferreas o simil
860500,"coches de viajeros, furgones de equipajes, coches-correo y demas coche"
860610,vagones-cisternas y similares.
860620,"vagones isotermicos, refrigerantes o frigorificos, excepto los de la s"
860630,"vagones de descarga automatica, excepto los de subpartidas 8606.10 u 8"
860691,"los demas vagones para el transporte de mercancias sobre rieles, cubie"
860692,"los demas vagones para transporte mercancias sobre riel, abiertos,con"
860699,los demas vagones para el transporte de mercancias sobre rieles.
860711,"bojes y bissel, ejes y ruedas y sus partes"
860712,los demas bojes y bissel
860719,los demas ejes y ruedas; partes de bogies bissel y de ejes y ruedas.
860721,frenos de aire comprimido y sus partes de vehiculos para vias ferreas
860729,los demas frenos y sus partes de vehiculos para vias ferreas o similar
860730,"ganchos y demas sistemas de enganche, topes, y sus partes, de vehiculo"
860791,locomotoras o locotractores
860799,las demas partes de vehiculos para vias ferreas o similares.
860800,material fijo de vias ferreas o similares; aparatos mecanicos (incluso
860900,contenedores (incluidos los contenedores-cisterna y los contenedores-d
870110,motocultores.
870120,tractores de carretera para semirremolques.
870130,tractores de orugas.
870190,los demas tractores.
870210,vehiculos automoviles para el transporte de personas con motor de embo
870290,los demas vehiculos automoviles para el transporte de personas.
870310,vehiclos p. desplazarse sobre nieve; para terrenos de golf y similares
870321,"los demas vehiculos con motor de embolo o piston alternativo, de encen"
870322,vehiculo automovil transporte personas de cilindrada superior a 1000 c
870323,vehiculos automovil transporte personas de cilindrada superior a 1500
870324,vehiculos automoviles transporte personas de cilindrada superior a 300
870331,"los demas vehiculos con motor de embolo, de encendido por compresion d"
870332,vehiculos automoviles transporte personas con motor de embolo de cilin
870333,vehiculos automov.transporte personas de cilindrada superior a 2500 cm
870390,los demas vehiculos automovil para el transporte de personas
870410,volquetes automotores proyectados usar fuera de la red de carretera.
870421,los demas vehiculos automoviles para el tranporte de mercancias de pes
870422,vehiculos automoviles transporte de mercancias de peso total con carga
870423,vehiculo automoviles para el transporte de mercancias de peso total co
870431,los demas vehiculos para el transporte de mercancias con motor de embo
870432,los demas vehiculo automoviles para el transporte de mercancias de pes
870490,los demas vehiculos automoviles para le transporte de mercancias
870510,camiones-grua.
870520,camiones automoviles para sondeos o perforaciones.
870530,camiones de bomberos.
870540,camiones-hormigonera.
870590,"los demas vehiculos tales como coches barredores, regadores y analogos"
870600,"chasis de vehiculos automoviles de las partidas 8701 a 8705, con el mo"
870710,carrocerias de los vehiculos de la partida 8703
870790,carrocerias de los demas vehiculos
870810,paragolpes o defensas y sus partes
870821,"cinturones de seguridad, de vehiculos automoviles"
870829,"las demas partes y accesorios de carroceria, incluidas las cabinas, ex"
870830,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705 : Frenos y servof
870831,guarniciones de frenos montadas
870839,los demas frenos y servofrenos y su partes
870840,cajas de cambio
870850,"ejes con diferencial, incluso con otros organos de transmision, de veh"
870860,"ejes portadores y sus partes, de vehiculos automoviles."
870870,ruedas y sus partes y accesorios de vehiculos automoviles.
870880,"amortiguadores de suspension, de vehiculos automoviles."
870891,radiadores de vehiculos automoviles
870892,"silenciadores y tubos de escape, de vehiculos automoviles."
870893,"embragues y sus partes, para vehiculos automoviles."
870894,"volantes, columnas y cajas de direccion, de vehiculos automoviles."
870895,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705 : Las demás parte
870899,las demas partes y accesorios de vehiculos automoviles
870911,"carretillas electricas, tipo utilizadas en fabricas, puertos, aeropuer"
870919,las demas carretillas automoviles tipo utilizadas en fabricas puertos
870990,"partes de carretillas automoviles tipo utilizadas fabricas, puertos, a"
871000,"carros y automoviles blindados de combate, incluso armados; partes."
871110,"motocicletas y ciclos, con motor de embolo o de piston alternativo de"
871120,motocicletas y ciclos con motor de embolo o de piston alternativo de c
871130,"motocicletas y ciclos motor de embolo o de piston alternativo, de cili"
871140,"motocicletas y ciclos motor embolo o de piston alternativo, de cilindr"
871150,motocicletas y ciclos motor embolo o de piston alternativo de cilindra
871190,las demas motocicletas y ciclos con motor auxiliar.
871200,"bicicletas y demas ciclos (incluidos los triciclos de reparto), sin mo"
871310,"sillas de rueda y demas vehiculos para invalidos, sin mecanismo de pro"
871390,"los demas sillones de ruedas y vehiculos para invalidos, excepto los s"
871411,sillines de motocicletas.
871419,las demas partes y accesorios de motocicletas.
871420,partes y accesorios de sillones de ruedas y demas vehiculos para inval
871491,"cuadros, horquillas y sus partes, para motocicletas y bicicletas"
871492,"llantas y radios, de vehiculos de las pdas. 87.11 y 87.12."
871493,"bujes sin freno y pinones libres, de vehiculos pdas. 87.11 y 87.12."
871494,"frenos, incluidos los bujes con frenos, y sus partes, de vehiculos de"
871495,"sillines, de vehiculos partdas. 87.11 y 87.12, excepto de motocicletas"
871496,"pedales, platos, ejes y bielas y sus partes, para motocicletas y bicic"
871499,las demas partes de motocicletas o bicicletas
871500,"coches, sillas y vehiculos similares, para el transporte de niños y su"
871610,"remolques y semiremolques para vivienda o para acampar, tipo caravana."
871620,"remolques y semirremolques autocargadores o autodescargadores, para us"
871631,"remolques y semiremolques, cisternas."
871639,carros de arrastre
871640,los demas remolques y semirremolques
871680,los demas vehiculos no automoviles
871690,"vehiculos no automoviles y remolques, partes y piezas"
880100,"Globos y dirigibles; planeadores, alas planeadoras y demás aeronaves no concebidas para la"
880110,planeadores y alas delta.
880190,"globos y dirigibles y demas aparatos de navegacion aerea, sin motor."
880211,"helicopteros, de peso, en vacio, inferior o igual a 2.000 kg."
880212,"helicopteros, de peso, en vacio, superior a 2.000 kg."
880220,"aviones y demas vehiculos aereos, de peso en vacio, inferior o igual a"
880230,"aviones y demas vehiculos aereos, de peso en vacio, superior a 2000 kg"
880240,"aviones y demas vehiculos aereos, de peso en vacio, superior a 15000 k"
880260,vehiculos espaciales (incluidos los satelites) y sus vehiculos de lana
880310,"helices y rotores, y sus partes, de los aparatos de pdas. 88.01 u 88.0"
880320,"trenes de aterrizaje y sus partes, de los aparatos pdas. 88.01 u 88.02"
880330,las demas partes de aviones o de helicopteros
880390,las demas partes de los aparatos de las pdas. 88.01 u 88.02
880400,"paracaidas, incluidos los paracaidas dirigibles y los giratorios; part"
880510,aparatos y dispositivos para el lanzamiento de aeronaves y sus partes;
880520,simuladores de vuelo y sus partes
880521,Simuladores de combate aéreo y sus partes
880529,"Aparatos de entrenamiento de vuelo en tierra y sus partes, n.c.o.p. (exc. simuladores de c"
890110,"transatlanticos, barcos para excursiones y barcos similares proyectado"
890120,barcos-cisternas.
890130,"barcos-frigorifico, excepto los de la subpartida 890120"
890190,los demas barcos para el transporte de mercancias y los demas barcos p
890200,barcos de pesca; barcos factoria y demas barcos para el tratamiento o
890310,embarcaciones inflables.
890391,"barcos de vela para deportes, incluso con motor auxiliar"
890392,"barcos con motor, de recreo o deporte, excepto con motores fuera de bo"
890399,yates y embarcaciones de recreo y trabajo
890400,remolcadores y barcos empujadores.
890510,dragas.
890520,"plataformas de perforacion o de explotacion, flotantes o sumergibles."
890590,"los demas barcos-faro, barcos-bomba y demas barcos navegacion accesori"
890600,"los demas barcos, incluidos los barcos de guerra y los barcos de salva"
890610,Navíos de guerra de todo tipo
890690,"Barcos, incl. los barcos de salvamento (exc. navíos de guerra, barcas de remos y otros bar"
890710,balsas inflables.
890790,los demas artefactos flotantes
890800,barcos y demas artefactos flotantes para desguace.
900110,"fibras opticas, haces y cables de fibras opticas"
900120,materias polarizantes en hojas o en placas
900130,lentes de contacto
900140,"lentes de vidrio para gafas, sin montar"
900150,"lentes de otras materias para gafas, sin montar."
900190,"los demas elementos de optica de cualquier materia, sin montar, excep."
900211,"objetivos, para tomavistas, proyectores o ampliadoras o reduct. fotogr"
900219,"los demas objetivos, montados, para instrumentos o aparatos."
900220,filtros montados para instrumentos o aparatos de optica.
900290,"los demas lentes, prismas, espejos y demas elementos de optica, montad"
900311,monturas (armazones) de plastico
900319,marcos para anteojos de otras materias.
900390,partes de monturas de gafas o articulos similares.
900410,gafas (anteojos) de sol
900490,"las demas gafas correctoras, protectoras u otras"
900510,gemelos y primaticos.
900580,los demas instrumentos de astronomia y sus armaduras.
900590,"partes y accesorios de instrumentos de astronomia, gemelos y prismatic"
900610,aparatos fotograficos del tipo de los utilizados para la preparacion d
900620,aparatos fotograficos del tipo de los utilizados para el registro de d
900630,"aparatos especiales para fotografia submarina o aerea, para examen med"
900640,aparatos fotograficos con autorrevelado.
900651,"los demas aparatos fotograficos, con visor reflexion a traves del obje"
900652,"los demas aparatos fotograficos, p. peliculas en rollo ancho inf. a 35"
900653,los demas aparatos fotograficos p. peliculas en rollo ancho igual a 35
900659,los demas aparatos fotograficos con autorrevelado.
900661,aparatos con tubo de descarga para la produccion de destellos (flashes
900662,"lamparas y cubos, de destello, y similares."
900669,los demas aparatos y dispositivos para produccion de destellos en foto
900691,partes y accesorios de aparatos fotograficos.
900699,las demas partes y accesorios de aparatos y dispositivos p. producc. d
900711,camaras cinematograficas para filmes ancho inf. 16 mm. o filmes doble-
900719,"las demas camaras, incluso con grabadores o reproductores de sonido."
900720,proyectores
900791,partes y accesorios de camaras cinematograficas.
900792,partes y accesorios de proyectores cinematograficos.
900810,proyectores de diapositivas.
900820,"lectores de microfilmes, de microfichas o de otros microformatos, incl"
900830,los demas proyectores de imagen fija
900840,"ampliadores o reductoras, fotograficas."
900890,partes y accesorios de proyectores de imagen fija; de ampliadoras o re
900911,"fotocopiadoras electrostaticas, con reproduccion directa del original."
900912,"fotocopiadoras electrostaticas, con reproduccion original mediante sop"
900921,las demas fotocopiadoras opticas.
900922,las demas fotocopiadoras por contacto.
900930,termocopiadoras.
900990,partes y accesorios de fotocopiadoras
900991,Alimentadores automáticos de documentos para aparatos de fotocopia y aparatos de termocopi
900992,Alimentadores de papel para aparatos de fotocopia y aparatos de termocopia
900993,Clasificadores para aparatos de fotocopia y aparatos de termocopia
900999,"Partes y accesorios de aparatos de fotocopia y aparatos de termocopia, n.c.o.p.(exc. alime"
901010,aparatos y material para revelado automatico de peliculas fotograficas
901041,aparatos para trazado directo sobre obleas
901042,fotorrepetidores
901049,los demas aparatos para proyectar o realizar esquemas de circuitos
901050,los demas aparatos y material para laboratorios fotograficos o cinema
901060,pantallas de proyeccion
901090,partes y accesorios de aparatos y material p. laborat. fotograf. o cin
901110,microscopios estereoscopicos.
901120,"los demas microscopios para microfotografia, microcinematografia o mic"
901180,los demas microscopios opticos.
901190,partes y accesorios de microscopios opticos.
901210,"microscopios, excepto los opticos, y difractografos."
901290,"partes y accesorios de microscopios, excepto los opticos y de difracto"
901310,"miras telescopicas para armas, periscopios; visores para maquinas apar"
901320,"laseres, excepto los diodos laser."
901380,"los demas dispositivos, aparatos e instrumentos de optica."
901390,"partes y accesorios de los demas dispositivos, aparatos e instrumentos"
901410,"brujulas, incluidos los compases de navegacion."
901420,instrumentos y aparatos para la navegacion aerea o espacial (excepto l
901480,los demas instrumentos y aparatos de navegacion
901490,partes y accesorios de instrumentos y aparatos de navegacion.
901510,telemetros
901520,teodolitos y taquimetros.
901530,niveles.
901540,instrumentos y aparatos de fotogrametria.
901580,"los demas instrumentos y aparatos de geodesia, topografia, agrimensura"
901590,"partes y accesorios de instrumentos y aparatos de geodesia, topografia"
901600,"balanzas sensible a un peso inferior o igual a 5 cg, incluso con pesas"
901710,"mesas y maquinas para dibujar, incluso automaticas."
901720,"los demas instrumento de dibujo, trazado o calculo"
901730,"micrometros, calibradores y calibres."
901780,los demas instrumentos manuales de medida de longitudes.
901790,"partes y accesorios de instrumentos de dibujo, trazado o calculo o de"
901811,electrocardiografos.
901812,aparatos de diagnostico mediante escaner
901813,aparatos de diagnostico de visualizacion por resonancia magnetica.
901814,aparatos de centellografia
901819,"los demas aparatos de electrodiagnostico, excepto el electrocardiograf"
901820,aparatos de rayos ultravioletas o infrarrojos.
901831,"jeringas, agujas, cateteres, canulas e instrumentos similares"
901832,agujas tubulares de metal y agujas de sutura
901839,sonda t-kehr
901841,"tornos dentales, incluso con otros equipos dentales sobre basamento co"
901849,los demas instrumentos y aparatos de odontologia.
901850,los demas instrumentos y aparatos de oftalmologia.
901890,"los demas instrumentos y aparatos de la medicina, cirugia, odontologia"
901910,aparatos de mecanoterapia; aparatos para masajes; aparatos de sicotecn
901920,"aparatos de ozonoterapia, oxigenoterapia, aerosolterapia, respiratorio"
902000,mascaras anti-gases y los demas paratos respiratorios con exclusion de
902110,Artículos y aparatos de ortopedia o para fracturas
902111,protesis articulares
