code,service
730721,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730722,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730723,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730729,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730791,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730792,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730793,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730799,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
730820,Se utiliza para elevar y soportar una turbina eólica para la generación de energías renovables
730890,Plantas de energías renovables
730900,"Contenedores de cualquier material, de cualquier forma, para desechos líquidos o sólidos, incluidos los desechos municipales o peligrosos"
730900,Manejo de aguas residuales y potabilización del agua
731010,"Contenedores de cualquier material, de cualquier forma, para desechos líquidos o sólidos, incluidos los desechos municipales o peligrosos"
731010,Manejo de aguas residuales y potabilización del agua
731021,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
731021,Manejo de aguas residuales
731029,"Contenedores de cualquier material, de cualquier forma, para desechos líquidos o sólidos, incluidos los desechos municipales o peligrosos"
731029,Manejo de aguas residuales y potabilización del agua
731100,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
732111,"Utiliza energía solar térmica para cocinar, por lo que no produce contaminación del aire. El uso de estufas solares está reemplazando la calefacción con leña u otras fuentes de energía no renovables (por ejemplo, petróleo, gas) y permite la conservación de la leña (especialmente importante en áreas áridas) y es adecuado para uso fuera de la red"
732113,Plantas de energías renovables
732183,Plantas de energías renovables
732190,Productos más limpios y eficientes en el uso de recursos
732490,Manejo de aguas residuales y potabilización del agua
732510,Estos elementos facilitan la entrega de agua potable y saneamiento
732690,Estos elementos facilitan la entrega de agua potable y saneamiento
761090,Plantas de energías renovables
761100,Plantas de energías renovables
761100,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
761290,"Contenedores de cualquier material, de cualquier forma, para desechos líquidos o sólidos, incluidos los desechos municipales o peligrosos"
761300,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
780600,Manejo de residuos sólidos
830630,Plantas de energías renovables
840211,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840212,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840219,Calderas para la producción de calor y energía a base de combustibles de biomasa (renovables)
840220,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840290,Partes para calderas
840310,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840390,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840410,Manejo de Residuos Sólidos y Sistemas de Reciclaje
840420,Control de la contaminación del aire
840490,Control de la contaminación del aire
840510,Control de la contaminación del aire. Manejo de aguas residuales y potabilización del agua
840590,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840611,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840611,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840619,Plantas de energías renovables
840619,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840619,Plantas de energías renovables
840690,Plantas de energías renovables
840790,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840890,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
840991,Los silenciadores industriales se utilizan para reducir el ruido de motores
840999,Los silenciadores industriales se utilizan para reducir el ruido de motores
841011,La generación de energía hidroeléctrica no produce emisiones de gases de efecto invernadero
841012,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841013,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841090,La generación de energía hidroeléctrica no produce emisiones de gases de efecto invernadero
841111,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841112,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841121,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841122,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841181,"Turbinas de gas para la generación de energía eléctrica a partir de gas de vertedero recuperado, gas de ventilación de minas de carbón o biogás (sistemas de energía limpia)"
841182,"Turbinas de gas para la generación de energía eléctrica a partir de gas de vertedero recuperado, gas de ventilación de minas de carbón o biogás (sistemas de energía limpia)"
841191,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841199,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841210,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841221,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841229,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841231,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841239,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841280,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841290,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841311,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841319,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841320,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
841330,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841340,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841350,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
841360,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
841370,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
841381,Manejo de aguas residuales y potabilización del agua
841382,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841391,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841392,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
841410,Control de la contaminación del aire
841430,"Equipo de manejo de aire. Transporte o extracción de aire contaminado, gases corrosivos o polvo"
841440,"Equipo de manejo de aire. Transporte o extracción de aire contaminado, gases corrosivos o polvo"
841459,"Equipo de manejo de aire. Transporte o extracción de aire contaminado, gases corrosivos o polvo. Transporte o extracción de aire contaminado y gases o polvos corrosivos"
841480,"Equipo de manejo de aire. Transporte o extracción de aire contaminado, gases corrosivos o polvo"
841490,"Equipo de manejo de aire. Transporte o extracción de aire contaminado, gases corrosivos o polvo. Transporte o extracción de aire contaminado y gases o polvos corrosivos"
841510,"Baja emisión de CO2, utilizando menos electricidad"
841581,"Baja emisión de CO2, utilizando menos electricidad"
841610,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
841620,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
841630,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
841690,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
841780,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Gestión y reciclado de residuos"
841790,Utilizado para el tratamiento o reciclaje de residuos sólidos
841810,"Baja emisión de CO2, utilizando menos electricidad"
841821,"Baja emisión de CO2, utilizando menos electricidad"
841830,"Baja emisión de CO2, utilizando menos electricidad"
841840,"Baja emisión de CO2, utilizando menos electricidad"
841861,"Dichos sistemas transfieren (""bombean"") el calor disponible en masas de tierra y agua para calentar o enfriar edificios."
841869,"Dichos sistemas transfieren (""bombean"") el calor disponible en masas de tierra y agua para calentar o enfriar edificios."
841911,Plantas de energías renovables
841919,"Utiliza energía solar térmica para calentar el agua, sin producir contaminación. El uso de calentamiento solar de agua desplaza la quema de otros combustibles que generan contaminación"
841939,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
841940,Utilizado para el tratamiento o reciclaje de residuos sólidos
841950,Gestión del calor y la energía
841960,Control de la contaminación del aire
841989,Control de la contaminación del aire. Manejo de aguas residuales y potabilización del agua
841990,Gestión del calor y la energía. Plantas de energías renovables
842010,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
842091,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
842099,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
842119,Limpieza o remediación de suelo y agua
842121,Limpieza o remediación de suelo y agua. Manejo de aguas residuales y potabilización del agua
842123,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
842129,Limpieza o remediación de suelo y agua. Manejo de aguas residuales y potabilización del agua
842131,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
842139,Control de la contaminación del aire
