index,index_pais,pais,Country_code,ECI,ECI_rank,GCI,GCI_rank,GCP,GCP_rank,COI,COI_rank,exports,exports_rank
77,60,Laos,LAO,-0.9932818601315124,101,-0.6415295177969361,78,-0.7426924450751077,85,-0.3883986609124333,98,4767541113.6,101
78,115,Uzbekistán,UZB,-0.807598329473727,91,-0.647357607165157,79,-0.752119238987535,86,-0.34111388338126575,95,8300135592.2,85
79,20,Colombia,COL,0.05239990724026025,56,-0.6628166807104682,80,-0.521935221022444,75,-0.07442942177344979,74,43202021058.4,50
80,57,Camboya,KHM,-1.235507203890875,112,-0.6764536071097151,81,-0.47561091079691525,71,-0.7587051087328971,111,13688999572.8,73
81,98,Senegal,SEN,-0.7056286615896722,86,-0.6863968120625058,82,-0.533187723380022,77,-0.2608438637581722,89,3115528483.4,105
82,42,Honduras,HND,-0.8152134621169809,92,-0.6918530116446602,83,-0.5185461281524719,73,-0.6285075200917846,106,7779489552.599999,87
83,96,Arabia Saudita,SAU,0.670697330102705,36,-0.6950498773952133,84,-0.7717529484584233,88,0.5330557133069775,28,250317981071.60004,18
84,4,Australia,AUS,0.07213468555760799,55,-0.7027682633027339,85,-0.5598079977056971,81,0.38145040752648823,38,218289510313.2,21
85,87,Perú,PER,-0.6671924309591618,82,-0.7046432182291834,86,-0.5105991306794191,72,-0.41791129797424886,99,38392859270.4,53
86,69,Madagascar,MDG,-1.323328085297198,114,-0.7076233444095075,87,-0.5187169622505783,74,-0.7640054657065724,112,2685593065.0,108
87,17,Costa de Marfil,CIV,-0.9808573430052143,99,-0.7093917997325919,88,-0.8623763156743093,94,-0.03442799503644449,70,11446505745.0,76
88,51,Jamaica,JAM,-0.41858274304484216,74,-0.7156427269375996,89,-0.7719762345874182,89,-0.11018676895770127,79,1159778972.0,119
89,113,Uruguay,URY,0.12240415286528906,52,-0.7188245992263745,90,-0.6888342472667107,84,0.1875914416180453,51,9499424470.4,80
90,18,Camerún,CMR,-1.1118888150278297,108,-0.7434009336656421,91,-0.9518540474195485,101,0.08531391545442979,57,4298090065.2,102
91,27,Ecuador,ECU,-1.0166874049190118,102,-0.7446484414571107,92,-0.8918431300680677,95,-0.21368801122771475,87,20429513434.000004,66
92,59,Kuwait,KWT,0.1118130290373233,54,-0.7453057788761209,93,-1.1218397026203057,116,0.6310624226718136,16,112868123084.2,31
93,120,Zambia,ZMB,-0.3899938145718479,70,-0.74533975016157,94,-0.819953279092307,92,0.08754444410506176,56,6472629186.599999,91
94,7,Bangladesh,BGD,-1.5555082427017335,118,-0.7480447808256566,95,-0.5858260195693962,83,-0.9308349952371981,114,32303253886.8,57
95,74,Mozambique,MOZ,-1.309075136007419,113,-0.7504874747957199,96,-0.9082970830086947,96,-0.1682549509620415,86,4838540676.400001,100
96,37,Ghana,GHA,-1.154186947570397,109,-0.7564155602167197,97,-0.9179486235525861,98,-0.06448828125573416,73,11591127477.199999,75
97,80,Nicaragua,NIC,-1.3862970227829423,116,-0.7788770020707448,98,-0.797345310330384,91,-0.6914044711815927,109,5162268050.4,97
98,15,Chile,CHL,-0.01398118094261444,60,-0.7794771642919938,99,-0.5572283041439148,80,-0.019859281858830423,68,64848238580.399994,43
99,11,Bolivia,BOL,-0.9858641591910723,100,-0.7812984188617479,100,-0.9883082011027852,104,0.10989107097535812,55,8662838416.4,83
100,105,Tayikistán,TJK,-0.9419586813772348,98,-0.7845460369842595,101,-0.9814273628630382,103,0.04692458381880756,59,872676048.4000001,122
101,118,Yemen,YEM,-1.0806538078320262,106,-0.7948333354666962,102,-0.9155636528647855,97,-0.16643867110700947,85,2584359314.6,110
102,19,República del Congo,COG,-0.8640481660786364,95,-0.796632641394361,103,-1.1128466145059528,113,0.5157742757540785,30,9052772605.2,82
103,107,Trinidad y Tobago and Tobago,TTO,-0.11610547072123882,63,-0.8030520391059327,104,-0.953776687574598,102,0.27953459180781465,44,10913323208.8,77
104,92,Paraguay,PRY,-0.6876334218462291,85,-0.8056534664926759,105,-0.9385852654047084,100,0.04103013428060701,61,7033396233.4,89
105,93,Katar,QAT,0.2177894998025558,46,-0.8061180651319542,106,-1.1134560038601953,114,0.6859759219957074,14,79296211086.4,37
106,121,Zimbabue,ZWE,-0.9110155857548738,97,-0.8123363655871045,107,-0.8623558189923635,93,-0.2318055701347018,88,2551201061.3999996,112
107,116,Venezuela,VEN,-0.7720019423928828,87,-0.8235309347876898,108,-1.1453281184887165,118,0.5231294829524483,29,34565416003.6,56
108,38,Guinea,GIN,-1.5253474255783113,117,-0.8267119507563628,109,-1.0858770932467616,109,0.25290268436655006,48,2277300703.2,115
109,72,Mali,MLI,-1.057223451533158,104,-0.8316652183721002,110,-1.0142000092458174,105,0.1213634196416057,53,1741619185.6,117
110,62,Liberia,LBR,-0.825258619780613,93,-0.8373411152436405,111,-1.093193839644749,110,0.49272500984548395,32,1023321150.9999999,120
111,73,Mongolia,MNG,-0.7870809855590655,90,-0.8396329178250737,112,-1.0480598012171674,107,0.2693891359414804,46,5542216578.8,95
112,26,Argelia,DZA,-1.0275581004131318,103,-0.840636275425715,113,-1.1655616527680908,120,0.5794210716942895,20,38844381788.600006,52
113,0,Angola,AGO,-1.6341209253785747,121,-0.8444307226864044,114,-1.1785105992846767,121,0.544910542630426,27,37458669062.799995,54
114,6,Azerbaiyán,AZE,-0.6734668299919492,83,-0.8458363991595838,115,-1.1022294757254307,112,0.4465279358723155,34,17292392040.0,67
115,97,Sudán,SDN,-1.5753538074545737,120,-0.8529226179635245,116,-1.042650367069537,106,0.013779711872268773,64,4164352080.8,103
116,75,Mauritania,MRT,-1.0724751297676987,105,-0.8539216703314735,117,-1.0793227356286277,108,0.26032261399369405,47,2214894914.6,116
117,63,Libia,LBY,-1.2042962729044842,110,-0.8545943998596126,118,-1.1785139015122696,122,0.5733249329114971,22,16864214754.6,68
118,79,Nigeria,NGA,-1.6430144693775053,122,-0.8582082560508829,119,-1.097256062298972,111,0.24375780124685104,50,54263202949.2,48
119,89,Papúa Nueva Guinea New Guinea,PNG,-1.563585149283499,119,-0.8596828645430398,120,-1.1256815620796186,117,0.3867986517877905,37,8429699423.400002,84
120,106,Turkmenistán,TKM,-1.3525964306503822,115,-0.8603008374340815,121,-1.1212027079845335,115,0.3322166919116421,41,7561844517.0,88
121,34,Gabón,GAB,-1.2092026314703272,111,-0.8636719826926547,122,-1.1585985600354514,119,0.6180780385629353,17,5044379454.999999,98
